opt0,opt1,opt2,opt3,opt4,opt5,opt6,opt7,opt8,opt9
"(67.85791005201813, [84.80107548272741, 78.3345221623068, 53.33510464521353, 44.49748210023897, 52.80528753564355])","(64.56430341529096, [95.25228713477566, 52.37660354983893, 4.756503928170009, 34.71250609538084, 47.1588066792838])","(63.419654988481916, [59.79813710935368, 79.27710521059659, 56.22028341805314, 14.996317888569004, 4.512815453907754])","(60.646529413493795, [52.820299372039116, 84.08143976156055, 40.48490658121143, 19.00940298541734, 99.30039502749779])","(59.13382326793715, [35.04589047975274, 44.184786615332854, 50.34320579439587, 90.18078052578993, 7.59641773337893])","(54.927846496340415, [60.92840693134586, 39.61550608330054, 17.019258614630093, 81.2845834554977, 85.01271201933592])","(47.338479360425076, [96.76893930649102, 48.60747027332171, 21.655806519030016, 25.682059305469252, 2.5329139894395287])","(47.26008179289838, [62.86874386264313, 6.209876095344189, 36.566308789310305, 97.08645479250262, 42.778249963812314])","(41.26333005483543, [2.573356902525341, 48.49452835340595, 96.04470874614603, 58.69375683883489, 30.09622036085122])","(36.502248692726056, [92.8762122977505, 62.53527295257699, 48.25185846534251, 15.533059475217328, 60.242687862541054])"
"(68.75632030653706, [94.69189957896371, 53.089378300172086, 5.163420719177203, 34.6316200560879, 47.08268758560465])","(64.84722780873503, [53.45410433630751, 84.12254379463461, 40.905420102654375, 18.822810785922396, 99.92084120171846])","(59.18986620059701, [59.217695339342136, 79.57532984805616, 55.67458567569241, 14.770468822876609, 4.9875317805137])","(54.89268771781788, [35.05338316315194, 44.42456094230502, 49.74196394325824, 90.09024652149544, 8.35322944201426])","(54.32521206532404, [84.70772489259164, 78.45204056030028, 53.98490839685335, 45.02647832468416, 53.330066700942524])","(53.413643965096284, [60.865394735977766, 39.902742285303646, 17.657781110130486, 81.27667354042674, 84.30155009440094])","(49.391899889227915, [3.551406822382744, 48.56434459752076, 96.07648776753581, 58.70248575183282, 30.28976091526298])","(46.24020658503717, [63.13839272368512, 6.475837100292883, 36.659499098390995, 97.88586317487551, 42.32128602642683])","(42.176174932460924, [96.36188832152834, 48.86336246889564, 21.471759860827508, 25.34745126160547, 1.7436149558208305])","(30.09224136924838, [92.28324136324645, 61.897541489330486, 48.20967426012919, 15.396934837954662, 59.77218321051358])"
"(66.72860289477092, [35.24668772778934, 43.69918513577331, 50.252921041386266, 89.78394609537202, 8.067631512368395])","(65.67576198843499, [53.831556384804344, 84.61681558446239, 41.4113362246708, 19.40672751492434, 99.79310913862736])","(65.07126517451928, [95.35269374817038, 52.899208218678886, 5.164864302427151, 34.03863483722268, 47.50167786272587])","(64.65598389289711, [59.33303820194619, 79.16333154761692, 55.362352530119594, 14.077538232908728, 5.476726102612756])","(57.03985278728636, [84.14114936553726, 78.81962338371105, 53.90308764269863, 45.73932808351158, 53.500435787356885])","(54.965265424174255, [61.3694392837816, 40.425231105657076, 17.169706069138677, 81.59117146150972, 84.67008549084235])","(48.595219405082716, [63.0002446475973, 5.776672564529161, 36.213748276351765, 97.42100123059286, 42.043268691692745])","(39.38828108564392, [2.863835272536132, 48.17036296713896, 95.93230506843322, 59.22894030848396, 30.56193877590556])","(36.56035556147345, [95.88486029689638, 48.55966466145116, 22.06058826518164, 25.755940365386362, 2.151817929581668])","(35.051681056968214, [92.67878807719623, 61.419429930719396, 48.751647641122474, 15.933230689470633, 59.95549646302815])"
"(67.56251970387947, [59.1574643072529, 79.42326547147675, 54.57787425005076, 13.97909306963548, 6.002568798347337])","(65.23205133490023, [54.281258423836405, 84.59992483042787, 41.55335714869871, 18.57667719748764, 99.90968839472735])","(62.40725494423819, [94.7135262261674, 52.95516723129113, 5.342210490506715, 34.658647907355, 47.086388096222066])","(61.429989670790604, [84.62401031102453, 79.021654362443, 54.67058438435303, 45.933512757393586, 53.18536459709194])","(58.271962855892625, [34.76927947409775, 43.12823463281218, 50.625950054906625, 89.25203290437628, 8.222597943547312])","(52.692904881679254, [61.773527929635215, 40.1085562872836, 16.532258346278226, 81.01964842027792, 84.61133823846828])","(52.53364066303908, [63.38840909213305, 6.181799726646829, 36.98502371313948, 97.3135282076031, 42.323953740190326])","(45.769505271522306, [3.2498377366739986, 48.43612642489946, 95.29188187615277, 59.52272188851265, 31.094782468017833])","(37.90295449023186, [95.22409093953733, 49.07052702161982, 21.870543862564983, 26.192680436139913, 2.4266719653360664])","(31.270550956664337, [93.18634868695676, 61.97124230872204, 49.35884435647774, 16.077396144912274, 60.17552781811568])"
"(66.12573098141294, [63.58992317373952, 6.239237485174013, 37.2924377088276, 96.39130260494312, 42.2186467989985])","(62.417914319291256, [60.0348901169677, 79.184666310432, 54.42635593508678, 13.955280180507785, 6.3894402696875465])","(61.902400805911306, [54.8629144650299, 84.02708330686083, 41.14806569431709, 18.97763788628689, 99.81750270351998])","(59.398834003559415, [94.40751938008034, 52.30241779060558, 5.3759351568510425, 35.12112197611666, 47.60142048397603])","(58.38518470963964, [35.00259363597968, 42.8750956638283, 49.97668824922705, 89.92853635758952, 8.270424188678746])","(53.55147861455919, [61.128695721131955, 40.47452381928676, 16.4672305938126, 80.98501975533085, 85.27829508517546])","(49.2589684423936, [2.6973842000688615, 49.08483661106515, 95.25636741383254, 59.077307461593, 31.36739005323016])","(45.97051642350041, [85.03991275207551, 78.69354448267927, 55.151155479565034, 46.55764554503137, 53.49981451706569])","(37.2152648718301, [95.59305343426904, 49.799559047226886, 22.330512223098026, 26.410265881701562, 2.1556283077661296])","(31.046030354657553, [92.72076218255346, 61.71625030775474, 49.8014298855296, 16.417149679313223, 60.81341015185455])"
"(69.5744393627831, [93.68505322547497, 52.358602586503096, 4.901388275545399, 35.0147314706298, 48.08965428242203])","(67.79188418759031, [64.29108381869521, 5.936959119091335, 37.250891095262325, 96.71620561605492, 42.77516584776093])","(64.82888970018307, [35.40215338935166, 43.44713830803219, 49.47696263770293, 90.41922868207442, 8.120042765038706])","(63.77639717237862, [59.46682349154529, 79.61331380019895, 54.89207178037412, 13.47581276528207, 6.173150214939869])","(58.48499583259586, [54.43800506195164, 84.07158200304569, 40.54636646977261, 19.53574976484607, 99.43810707965588])","(55.465620846034746, [60.643233421538824, 40.69287293065533, 15.850433789568678, 81.35772411392226, 84.83410685412947])","(50.863872778832494, [2.553062828180642, 48.84361332796428, 94.58971396384945, 58.66338143068989, 31.919858231384147])","(45.76948221256943, [84.82450299804073, 78.69404886801881, 54.45571855170583, 47.20550801554181, 53.72395751190596])","(39.768468126667834, [96.01668794052894, 49.652917858009914, 23.09926186119504, 26.39592673317963, 1.699724206582192])","(38.5460508396761, [92.26551400308836, 61.30700747268076, 50.197767135379316, 16.445571794549686, 61.49706091414577])"
"(67.73457316809848, [35.92091061825716, 43.93721768849267, 49.07390734625013, 90.80688003050035, 8.541926638161629])","(65.45221648246707, [54.93614561071564, 83.89930922663632, 40.732994654026335, 20.054440391727326, 98.79133970369061])","(64.90736926330953, [64.14689224835851, 5.314501201551756, 36.88522211752934, 96.49469740322183, 43.414677569551344])","(64.24644622653973, [93.99238478053769, 51.82522954482386, 5.415655192235126, 35.604652140442944, 47.9970062635645])","(63.53002971372943, [60.86240987452725, 41.16143151660017, 15.371779868854816, 80.83253352831464, 84.35715842194088])","(60.48046798097795, [58.805726248012846, 79.6770640843521, 54.49776641785675, 14.042839889321305, 5.886986175343618])","(50.381004321278844, [2.34274777566425, 49.257667592435595, 94.36527407652262, 57.84215849915507, 31.67583716988286])","(40.55726911049875, [92.3367257391558, 60.66919477101399, 50.078336200546815, 15.785916131376434, 61.124616953143196])","(39.15482682409583, [96.31992034606404, 49.01789373185988, 22.900702965696613, 25.759206234973313, 1.45486539088806])","(38.381203068247885, [84.88740785665851, 78.78491873387011, 55.00881025873544, 46.82511270961902, 54.45687948666823])"
"(67.80076480996733, [94.75906600245416, 51.782063286520405, 5.796923530448419, 35.35652632011086, 48.44801026539303])","(66.31345321872519, [64.0495301522625, 5.00994875857635, 36.47958376403408, 96.37646095299975, 42.56659378846952])","(61.68628272357194, [60.92202388628205, 41.90663417383336, 15.413939460102656, 81.14082924903263, 83.77039144373924])","(61.40628527959564, [55.55587734186183, 84.18742011733487, 40.6489003365322, 20.24840726337277, 98.09260535177944])","(59.30280276904997, [59.12991168857673, 79.28553422800844, 54.14304797046777, 14.803288905698679, 5.6933362636716724])","(58.09552116548491, [35.25968625007932, 44.36477658637659, 49.006166302391684, 90.49072521953956, 9.066743758929825])","(49.6956717710016, [93.16601949787243, 60.25307347821312, 50.19834075747422, 16.002433063951614, 60.84562904004253])","(46.604319449635085, [2.8544052658796937, 49.78406855185853, 93.92726391779225, 57.878098111135834, 31.158184692090373])","(36.78088870160233, [84.23484224323369, 78.96871382478298, 54.37432564184845, 46.508213883762366, 54.26353551899335])","(35.449295315782614, [96.10335092209611, 49.79729549646248, 22.443306127355388, 26.123037436418585, 1.518470131803297])"
"(67.15618121401484, [95.05481198480346, 50.89829362695243, 5.612771935542968, 35.179775830456926, 48.19045841187179])","(66.68045740797847, [35.02096941288878, 43.833777277118436, 49.11810018094386, 90.45959772089499, 9.871452334048485])","(65.93090495409204, [61.52638688960257, 42.41938085089612, 15.617621846936224, 80.81250806205355, 83.2986342086565])","(64.74076186283905, [63.63218031386925, 4.6154623186685715, 36.030579150035194, 96.96232422766766, 42.21253356601421])","(63.81521116361475, [2.2108486105058773, 49.710401630256754, 93.56222734286898, 58.259769983888646, 31.70725927400383])","(59.03671857151368, [59.519921455591714, 78.7089003128893, 53.6026637015993, 15.24541058252618, 5.860366124493075])","(55.12442603026589, [56.20150768183001, 84.26116476900269, 40.59459627179196, 19.65155078004189, 97.6251263711594])","(52.48662272102765, [93.19832544712897, 60.52369465903603, 49.46232020413074, 16.43244510270578, 60.3994408580889])","(41.58127333678768, [96.43105250427048, 49.26536329384871, 22.11332228953265, 26.59983410761637, 0.9955596174957764])","(34.62168704424526, [84.01967906417389, 79.46658168854412, 54.19034689337469, 46.15989301535033, 53.521472995111765])"
"(69.25049983532115, [63.01254054479612, 4.657888184291251, 35.693836152499166, 97.30039210079151, 42.83427376037286])","(65.69945888206512, [34.55046663122956, 44.287025471641584, 48.98960989548571, 89.79582536154459, 10.212171731966672])","(65.00989923272307, [56.074472246817855, 84.44088596506627, 39.63856588309146, 19.554161376953633, 97.45754507750156])","(58.92524641053289, [60.33475458607661, 78.5263430494474, 53.958380100168156, 15.103723928233766, 5.4652578471646835])","(55.877000850265844, [61.48709254116582, 42.02944492407579, 16.11712505722534, 81.07492413002284, 84.02529800804251])","(54.63378032773489, [2.2784629671441876, 49.15853770748541, 93.26995924844239, 58.63143772435596, 31.023653421779045])","(51.32382448792641, [94.34843276278444, 51.10024936502769, 5.645652258669822, 35.57835685908284, 47.642467241752364])","(46.88587077134177, [96.23124763843973, 49.57100935654912, 21.689748766090954, 27.118309489946768, 1.6424191448296672])","(40.73413451286355, [93.08771193524188, 61.02817802957395, 49.93895981562826, 16.073281363869402, 61.01350703473054])","(34.12595352486014, [84.47272260410307, 79.50258931706401, 54.490281357333046, 46.6592829493239, 52.84760059413909])"
